seed,case,ospa_mean,card_err_mean,fragmentation_count,id_switches,false_confirm_ratio,median_track_life,mean_track_life,peak_confirmed,ospa_rmse,pos_rmse
1021,KF_Field,46.012103,0.815851,29.000000,29.000000,0.358491,35.000000,29.792453,6.000000,52.707030,13.113623
1022,KF_Field,44.054105,0.895105,29.000000,29.000000,0.346154,35.500000,28.576923,6.000000,51.490932,13.090712
1023,KF_Field,44.148622,0.834499,29.000000,29.000000,0.333333,36.000000,29.666667,6.000000,51.562456,13.092175
1024,KF_Field,45.980250,0.813520,29.000000,29.000000,0.346154,35.500000,30.326923,6.000000,52.655806,13.545524
1025,KF_Field,45.363476,0.764569,29.000000,29.000000,0.306122,36.000000,31.979592,6.000000,52.291933,15.157948
1001,PF_Field,89.455127,1.564103,5.000000,5.000000,0.000000,39.000000,118.333333,5.000000,91.830796,44.763300
1002,PF_Field,87.347181,1.536131,1.000000,1.000000,0.444444,80.000000,151.111111,6.000000,88.975972,34.661700
1003,PF_Field,88.478431,1.494172,4.000000,4.000000,0.111111,40.000000,139.777778,6.000000,89.981838,33.054682
1004,PF_Field,83.118020,0.972028,6.000000,6.000000,0.153846,50.000000,145.538462,6.000000,85.437362,44.645216
1005,PF_Field,88.304264,1.529138,4.000000,4.000000,0.000000,96.000000,191.666667,4.000000,91.047297,52.465323
1006,PF_Field,87.415295,1.074592,5.000000,5.000000,0.000000,92.000000,168.777778,6.000000,90.014046,50.557657
1007,PF_Field,90.431596,1.892774,4.000000,4.000000,0.125000,35.500000,131.500000,5.000000,91.744187,52.753728
1008,PF_Field,82.083913,1.298368,6.000000,6.000000,0.000000,35.500000,141.500000,5.000000,83.395844,38.386865
1009,PF_Field,85.673160,0.934732,5.000000,5.000000,0.000000,92.000000,170.000000,6.000000,88.392891,50.981757
1010,PF_Field,90.212059,0.967366,5.000000,5.000000,0.307692,42.000000,155.076923,7.000000,92.012231,52.538111
1011,PF_Field,83.715030,0.659674,3.000000,3.000000,0.111111,257.000000,214.444444,6.000000,86.198403,47.613958
1012,PF_Field,83.310908,1.284382,4.000000,4.000000,0.000000,188.500000,222.166667,4.000000,86.853080,57.408386
1013,PF_Field,86.223787,0.930070,4.000000,4.000000,0.125000,172.000000,198.000000,5.000000,88.655716,57.236663
1014,PF_Field,82.790989,1.303030,3.000000,3.000000,0.000000,47.000000,194.000000,6.000000,84.998537,49.579841
1015,PF_Field,92.404212,1.836830,3.000000,3.000000,0.142857,45.000000,134.285714,5.000000,93.656317,50.803261
1016,PF_Field,87.837704,2.289044,3.000000,3.000000,0.000000,40.000000,99.714286,5.000000,91.779933,44.741992
1017,PF_Field,89.975059,1.303030,3.000000,3.000000,0.125000,41.500000,176.875000,5.000000,92.609773,58.285971
1018,PF_Field,81.430316,0.836830,8.000000,8.000000,0.090909,40.000000,149.727273,6.000000,84.279499,55.492570
1019,PF_Field,91.620037,1.867133,2.000000,2.000000,0.142857,49.000000,158.857143,6.000000,92.857153,51.849920
1020,PF_Field,90.713776,1.393939,3.000000,3.000000,0.125000,36.500000,175.875000,4.000000,92.302262,60.376089
1021,PF_Field,89.561942,1.046620,4.000000,4.000000,0.222222,93.000000,176.777778,6.000000,91.824605,58.085811
1022,PF_Field,79.952101,0.990676,5.000000,5.000000,0.250000,114.000000,176.416667,7.000000,83.761366,42.343019
1023,PF_Field,91.937454,1.344988,4.000000,4.000000,0.000000,43.000000,177.142857,4.000000,93.423130,59.133680
1024,PF_Field,91.801635,1.449883,5.000000,5.000000,0.000000,37.000000,125.200000,5.000000,93.126286,50.022886
1025,PF_Field,90.097336,1.319347,3.000000,3.000000,0.222222,38.000000,162.000000,5.000000,91.985913,65.066859
1001,PF_Radar,92.638279,3.165501,3.000000,3.000000,0.611111,43.500000,179.833333,11.000000,93.761658,66.088434
1002,PF_Radar,93.629913,1.671329,2.000000,2.000000,0.571429,39.500000,181.142857,10.000000,94.663622,60.057542
1003,PF_Radar,92.359316,2.692308,3.000000,3.000000,0.588235,43.000000,175.941176,10.000000,93.715756,49.766550
1004,PF_Radar,94.799259,1.331002,3.000000,3.000000,0.666667,37.000000,158.000000,10.000000,95.502646,62.683329
1005,PF_Radar,89.901141,2.804196,5.000000,5.000000,0.375000,106.000000,189.312500,11.000000,90.963146,45.290828
1006,PF_Radar,94.852840,4.258741,3.000000,3.000000,0.600000,300.000000,244.133333,14.000000,95.734337,63.575998
1007,PF_Radar,90.639366,1.762238,3.000000,3.000000,0.625000,44.500000,159.625000,10.000000,92.046427,45.847864
1008,PF_Radar,94.694218,2.622378,1.000000,1.000000,0.625000,35.500000,184.562500,11.000000,95.558943,62.759269
1009,PF_Radar,93.422234,3.076923,3.000000,3.000000,0.647059,35.000000,187.705882,10.000000,94.785811,51.762381
1010,PF_Radar,92.416840,2.748252,3.000000,4.000000,0.562500,63.000000,187.937500,12.000000,93.181266,57.176123
1011,PF_Radar,90.316091,2.888112,7.000000,7.000000,0.470588,47.000000,181.000000,11.000000,91.248683,62.845598
1012,PF_Radar,95.881888,3.307692,3.000000,3.000000,0.666667,38.500000,182.111111,11.000000,96.681129,66.930105
1013,PF_Radar,93.612064,2.382284,2.000000,2.000000,0.533333,49.000000,191.466667,10.000000,94.696033,49.767328
1014,PF_Radar,93.910594,1.370629,3.000000,3.000000,0.600000,37.000000,159.066667,11.000000,94.664606,48.106297
1015,PF_Radar,92.236055,2.920746,6.000000,6.000000,0.555556,57.500000,171.777778,10.000000,93.131645,59.029586
1016,PF_Radar,92.247773,5.328671,5.000000,5.000000,0.526316,231.000000,220.210526,13.000000,93.702549,63.687969
1017,PF_Radar,90.761645,4.743590,4.000000,4.000000,0.526316,192.000000,206.263158,12.000000,92.320154,42.621410
1018,PF_Radar,96.562318,2.393939,2.000000,2.000000,0.666667,37.000000,191.933333,11.000000,97.027982,63.300279
1019,PF_Radar,95.065775,3.990676,3.000000,3.000000,0.625000,219.000000,224.437500,11.000000,95.952203,65.933114
1020,PF_Radar,94.905433,3.606061,4.000000,4.000000,0.555556,80.000000,189.333333,12.000000,95.767698,60.711640
1021,PF_Radar,93.011604,4.340326,3.000000,3.000000,0.631579,45.000000,196.105263,12.000000,94.370451,61.068217
1022,PF_Radar,92.603396,2.613054,3.000000,3.000000,0.571429,146.000000,207.000000,12.000000,93.513783,59.269738
1023,PF_Radar,93.398360,3.163170,3.000000,3.000000,0.600000,117.000000,213.000000,10.000000,95.019474,61.897267
1024,PF_Radar,91.590811,2.685315,6.000000,6.000000,0.590909,36.500000,136.181818,11.000000,93.480827,53.510502
1025,PF_Radar,90.274880,2.261072,4.000000,4.000000,0.571429,40.000000,200.642857,10.000000,92.048531,58.579733
